mmsi,vessel_name,rank,final_score,distance_to_spill_km,timestamp
368309480,JUNIPER,1,0.42989031728503935,7.895339270973839,2024-08-06 01:52:52.373737374
367691350,ANDIAMO,2,0.333901828356445,17.82549012386365,2024-08-06 02:05:27.272727273
338456512,TICA,3,0.3295729358292013,13.728207682613498,2024-08-06 03:20:00.000000000
